,neighbourhood_group,neighbourhood
0,Ciutat Vella,el Barri Gòtic
1,Ciutat Vella,el Raval
2,Ciutat Vella,la Barceloneta
3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
4,Eixample,el Fort Pienc
5,Eixample,la Dreta de l'Eixample
6,Eixample,la Nova Esquerra de l'Eixample
7,Eixample,l'Antiga Esquerra de l'Eixample
8,Eixample,la Sagrada Família
9,Eixample,Sant Antoni
10,Gràcia,el Camp d'en Grassot i Gràcia Nova
11,Gràcia,el Coll
12,Gràcia,la Salut
13,Gràcia,la Vila de Gràcia
14,Gràcia,Vallcarca i els Penitents
15,Horta-Guinardó,Can Baró
16,Horta-Guinardó,el Baix Guinardó
17,Horta-Guinardó,el Carmel
18,Horta-Guinardó,el Guinardó
19,Horta-Guinardó,Horta
20,Horta-Guinardó,la Clota
21,Horta-Guinardó,la Font d'en Fargues
22,Horta-Guinardó,la Teixonera
23,Horta-Guinardó,la Vall d'Hebron
24,Horta-Guinardó,Montbau
25,Horta-Guinardó,Sant Genís dels Agudells
26,Les Corts,la Maternitat i Sant Ramon
27,Les Corts,les Corts
28,Les Corts,Pedralbes
29,Nou Barris,Can Peguera
30,Nou Barris,Canyelles
31,Nou Barris,Ciutat Meridiana
32,Nou Barris,el Turó de la Peira
33,Nou Barris,la Guineueta
34,Nou Barris,la Prosperitat
35,Nou Barris,la Trinitat Nova
36,Nou Barris,les Roquetes
37,Nou Barris,Porta
38,Nou Barris,Torre Baró
39,Nou Barris,Vallbona
40,Nou Barris,Verdun
41,Nou Barris,Vilapicina i la Torre Llobeta
42,Sant Andreu,Baró de Viver
43,Sant Andreu,el Bon Pastor
44,Sant Andreu,el Congrés i els Indians
45,Sant Andreu,la Sagrera
46,Sant Andreu,la Trinitat Vella
47,Sant Andreu,Navas
48,Sant Andreu,Sant Andreu
49,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
50,Sant Martí,el Besòs i el Maresme
51,Sant Martí,el Camp de l'Arpa del Clot
52,Sant Martí,el Clot
53,Sant Martí,el Parc i la Llacuna del Poblenou
54,Sant Martí,el Poblenou
55,Sant Martí,la Verneda i la Pau
56,Sant Martí,la Vila Olímpica del Poblenou
57,Sant Martí,Provençals del Poblenou
58,Sant Martí,Sant Martí de Provençals
59,Sants-Montjuïc,el Poble Sec
60,Sants-Montjuïc,Hostafrancs
61,Sants-Montjuïc,la Bordeta
62,Sants-Montjuïc,la Font de la Guatlla
63,Sants-Montjuïc,la Marina del Prat Vermell
64,Sants-Montjuïc,la Marina de Port
65,Sants-Montjuïc,Sants
66,Sants-Montjuïc,Sants - Badal
67,Sarrià-Sant Gervasi,el Putxet i el Farró
68,Sarrià-Sant Gervasi,les Tres Torres
69,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
70,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
71,Sarrià-Sant Gervasi,Sarrià
72,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
